fixture_id,match_date,round,group_name,stage_category,home_team,away_team,home_goals,away_goals,home_elo,away_elo,elo_gap,result_classification,ad_slot_tier
43,2026-06-15,"Matchday 5","Group H","Group Stage",Spain,"Cape Verde",0,0,2034,1520,514,Draw,"TIER 4 - Standard"
46,2026-06-21,"Matchday 11","Group H","Group Stage",Uruguay,"Cape Verde",2,2,1996,1520,476,Draw,"TIER 4 - Standard"
14,2026-06-13,"Matchday 3","Group C","Group Stage",Haiti,Scotland,0,1,1470,1930,460,"Expected: Away win","TIER 4 - Standard"
45,2026-06-21,"Matchday 11","Group H","Group Stage",Spain,"Saudi Arabia",4,0,2034,1580,454,"Expected: Home win","TIER 4 - Standard"
16,2026-06-19,"Matchday 9","Group C","Group Stage",Brazil,Haiti,3,0,1899,1470,429,"Expected: Home win","TIER 4 - Standard"
44,2026-06-15,"Matchday 5","Group H","Group Stage","Saudi Arabia",Uruguay,1,1,1580,1996,416,Draw,"TIER 4 - Standard"
42,2026-06-26,"Matchday 16","Group G","Group Stage","New Zealand",Belgium,1,5,1480,1882,402,"Expected: Away win","TIER 4 - Standard"
60,2026-06-27,"Matchday 17","Group J","Group Stage",Jordan,Argentina,1,3,1490,1891,401,"Expected: Away win","TIER 4 - Standard"
71,2026-06-27,"Matchday 17","Group L","Group Stage",Panama,England,0,2,1530,1912,382,"Expected: Away win","TIER 4 - Standard"
56,2026-06-16,"Matchday 6","Group J","Group Stage",Austria,Jordan,3,1,1845,1490,355,"Expected: Home win","TIER 4 - Standard"
3,2026-06-18,"Matchday 8","Group A","Group Stage","Czech Republic","South Africa",1,1,1897,1550,347,Draw,"TIER 4 - Standard"
69,2026-06-23,"Matchday 13","Group L","Group Stage",England,Ghana,0,0,1912,1580,332,Draw,"TIER 4 - Standard"
25,2026-06-14,"Matchday 4","Group E","Group Stage",Germany,Curacao,7,1,1780,1450,330,"Expected: Home win","TIER 4 - Standard"
51,2026-06-22,"Matchday 12","Group I","Group Stage",France,Iraq,3,0,1860,1530,330,"Expected: Home win","TIER 4 - Standard"
63,2026-06-23,"Matchday 13","Group K","Group Stage",Portugal,Uzbekistan,5,0,1810,1510,300,"Expected: Home win","TIER 4 - Standard"
18,2026-06-24,"Matchday 14","Group C","Group Stage",Morocco,Haiti,4,2,1750,1470,280,"Expected: Home win","TIER 4 - Standard"
61,2026-06-17,"Matchday 7","Group K","Group Stage",Portugal,"DR Congo",1,1,1810,1540,270,Draw,"TIER 4 - Standard"
37,2026-06-15,"Matchday 5","Group G","Group Stage",Belgium,Egypt,1,1,1882,1620,262,Draw,"TIER 4 - Standard"
55,2026-06-16,"Matchday 6","Group J","Group Stage",Argentina,Algeria,3,0,1891,1630,261,"Expected: Home win","TIER 4 - Standard"
70,2026-06-23,"Matchday 13","Group L","Group Stage",Panama,Croatia,0,1,1530,1780,250,"Expected: Away win","TIER 4 - Standard"
2,2026-06-11,"Matchday 1","Group A","Group Stage","South Korea","Czech Republic",2,1,1650,1897,247,"UPSET: Lower-rated home team won","TIER 2 - High"
39,2026-06-21,"Matchday 11","Group G","Group Stage",Belgium,Iran,0,0,1882,1640,242,Draw,"TIER 4 - Standard"
62,2026-06-17,"Matchday 7","Group K","Group Stage",Uzbekistan,Colombia,1,3,1510,1740,230,"Expected: Away win","TIER 4 - Standard"
8,2026-06-13,"Matchday 3","Group B","Group Stage",Qatar,Switzerland,1,1,1480,1700,220,Draw,"TIER 4 - Standard"
59,2026-06-27,"Matchday 17","Group J","Group Stage",Algeria,Austria,3,3,1630,1845,215,Draw,"TIER 4 - Standard"
36,2026-06-25,"Matchday 15","Group F","Group Stage",Tunisia,Netherlands,1,3,1600,1812,212,"Expected: Away win","TIER 4 - Standard"
28,2026-06-20,"Matchday 10","Group E","Group Stage",Ecuador,Curacao,0,0,1660,1450,210,Draw,"TIER 4 - Standard"
64,2026-06-23,"Matchday 13","Group K","Group Stage",Colombia,"DR Congo",1,0,1740,1540,200,"Expected: Home win","TIER 4 - Standard"
29,2026-06-25,"Matchday 15","Group E","Group Stage",Curacao,"Ivory Coast",0,2,1450,1650,200,"Expected: Away win","TIER 4 - Standard"
72,2026-06-27,"Matchday 17","Group L","Group Stage",Croatia,Ghana,2,1,1780,1580,200,"Expected: Home win","TIER 4 - Standard"
15,2026-06-19,"Matchday 9","Group C","Group Stage",Scotland,Morocco,0,1,1930,1750,180,"UPSET: Lower-rated away team won","TIER 2 - High"
49,2026-06-16,"Matchday 6","Group I","Group Stage",France,Senegal,3,1,1860,1680,180,"Expected: Home win","TIER 4 - Standard"
5,2026-06-24,"Matchday 14","Group A","Group Stage","Czech Republic",Mexico,0,3,1897,1720,177,"UPSET: Lower-rated away team won","TIER 2 - High"
1,2026-06-11,"Matchday 1","Group A","Group Stage",Mexico,"South Africa",2,0,1720,1550,170,"Expected: Home win","TIER 4 - Standard"
50,2026-06-16,"Matchday 6","Group I","Group Stage",Iraq,Norway,1,4,1530,1700,170,"Expected: Away win","TIER 4 - Standard"
38,2026-06-15,"Matchday 5","Group G","Group Stage",Iran,"New Zealand",2,2,1640,1480,160,Draw,"TIER 4 - Standard"
10,2026-06-18,"Matchday 8","Group B","Group Stage",Canada,Qatar,6,0,1640,1480,160,"Expected: Home win","TIER 4 - Standard"
12,2026-06-24,"Matchday 14","Group B","Group Stage","Bosnia & Herzegovina",Qatar,3,1,1640,1480,160,"Expected: Home win","TIER 4 - Standard"
53,2026-06-26,"Matchday 16","Group I","Group Stage",Norway,France,1,4,1700,1860,160,"Expected: Away win","TIER 4 - Standard"
54,2026-06-26,"Matchday 16","Group I","Group Stage",Senegal,Iraq,5,0,1680,1530,150,"Expected: Home win","TIER 4 - Standard"
13,2026-06-13,"Matchday 3","Group C","Group Stage",Brazil,Morocco,1,1,1899,1750,149,Draw,"TIER 4 - Standard"
40,2026-06-21,"Matchday 11","Group G","Group Stage","New Zealand",Egypt,1,3,1480,1620,140,"Expected: Away win","TIER 4 - Standard"
58,2026-06-22,"Matchday 12","Group J","Group Stage",Jordan,Algeria,1,2,1490,1630,140,"Expected: Away win","TIER 4 - Standard"
67,2026-06-17,"Matchday 7","Group L","Group Stage",England,Croatia,4,2,1912,1780,132,"Expected: Home win","TIER 4 - Standard"
34,2026-06-20,"Matchday 10","Group F","Group Stage",Tunisia,Japan,0,4,1600,1730,130,"Expected: Away win","TIER 4 - Standard"
27,2026-06-20,"Matchday 10","Group E","Group Stage",Germany,"Ivory Coast",2,1,1780,1650,130,"Expected: Home win","TIER 4 - Standard"
